Figure ID,Section,Placement Context,Caption,Filename,Gemini Prompt Summary,Type,Status
10.0,Cover,After chapter introduction and problem statement,"Chapter Overview: From Data to Design",figure-10.0-chapter-overview.png,"Messy flat spreadsheet transforming into organized ER diagram with arrows and gears suggesting systematic design process; blueprints and database tables with connecting relationship lines",Image,pending
10.1,10.1,After discussion of shift from using to designing databases,"The Shift from Database Use to Database Design",figure-10.1-use-to-design-shift.png,"Two-panel comparison: left panel shows person typing SQL queries at terminal with data tables; right panel shows same person sketching ER diagram on whiteboard with entity boxes and key symbols",Image,pending
10.2,10.2,After explanation of insertion and update and deletion anomalies,"The Three Types of Data Anomalies",figure-10.2-data-anomalies.png,"Three panels: insertion row blocked with red X; update with identical values in multiple rows one changed and others inconsistent; deletion with unrelated data disappearing alongside removed row",Image,pending
10.3,10.3,After SDLC definition and context before phase breakdown,"SDLC Phases with Database Focus",figure-10.3-sdlc-phases.png,"SDLC as circular or flowing diagram with six phases (Planning Analysis Design Development Testing Deployment Maintenance) each with database activity icons; feedback loop from Maintenance to Planning",Image,pending
10.4,10.4,After attribute classification table,"Attribute Classification",figure-10.4-attribute-classification.png,"Taxonomy tree of database attribute types: root branches into Simple vs Composite and Single-valued vs Multi-valued and Stored vs Derived; each leaf with icon example",Image,pending
10.5,10.5,After defining three core ER elements,"The Three Core Elements of ER Modeling",figure-10.5-er-core-elements.png,"Three core ER building blocks in triangular arrangement: Entity rectangle at top; Attribute oval bottom-left; Relationship diamond bottom-right; example icons surrounding each",Image,pending
10.6,10.5,After key hierarchy discussion,"The Hierarchy of Keys",figure-10.6-key-hierarchy.png,"Nested hierarchy: outermost Superkey containing Candidate Key containing highlighted Primary Key; arrow from PK to Foreign Key in another entity; Surrogate Key as system-generated alternative",Image,pending
10.7,10.6,After identifying/nonidentifying relationship discussion,"Crow's Foot Notation Symbol Reference",figure-10.7-crows-foot-symbols.png,"Visual reference card: four relationship line endings in vertical list (mandatory-one optional-one mandatory-many optional-many) with two entity rectangles connected by each symbol",Image,pending
10.8,10.7,After associative entity explanation resolving M:N,"Associative Entity Resolving an M:N Relationship",figure-10.8-associative-entity.png,"M:N between Student and Deliverable faded at top; resolved version below with Student_Grade associative entity connected by two 1:N lines using crow's foot notation",Image,pending
10.9,10.7,After recursive relationship explanation,"Recursive Relationship: Employee Manages Employee",figure-10.9-recursive-relationship.png,"Single EMPLOYEE entity with relationship diamond looping back; role indicators (manages pointing down; reports to pointing up); small org hierarchy tree beside it",Image,pending
10.10,10.8,After normal forms table and definitions,"Normal Forms Progression",figure-10.10-normal-forms.png,"Progression as nested concentric shapes: outermost 1NF then 2NF then 3NF then BCNF; each layer with icon showing what it eliminates; arrow labeled increasing strictness",Image,pending
10.11,10.9,After mapping diagram elements to SQL,"From Visual Diagram to SQL Implementation",figure-10.11-diagram-to-sql.png,"Side-by-side: left shows ER diagram with two entities connected by crow's foot; right shows SQL CREATE TABLE code blocks; arrows connect entity to table and attribute to column and relationship to FK",Image,pending
10.12,10.10,After specialization/generalization mapping strategies,"Three Strategies for Mapping Specialization/Generalization",figure-10.12-specialization-strategies.png,"VEHICLE supertype with CAR and TRUCK subtypes: Strategy A three tables connected; Strategy B two tables each with all Vehicle attributes; Strategy C one table with discriminator column",Image,pending
10.13,10.12,After common mistakes discussion,"Common Database Modeling Mistakes",figure-10.13-common-mistakes.png,"Six panels with warning icons: tangled M:N lines; unlabeled relationships; overloaded entity; missing participation markers; attribute that should be entity; coding SQL without diagram",Image,pending
