NewQuestion,MS,,,
Title,Which consequences of a poorly designed...,,,
QuestionText,Select ALL that apply: Which consequences of a poorly designed database are described in Chapter 1?,,,
Points,1,,,
Scoring,RightAnswers,,,
Option,1,Inconsistent reports,,
Option,1,Duplicate records,,
Option,1,Confusing dashboards,,
Option,0,Faster query performance,,
Option,1,Missing information,,
Feedback,"In ""Why Databases Matter for Business Performance,"" the chapter says a poorly designed database can create duplicate records, inconsistent reports, missing information, and confusing dashboards.",,,
,,,,
NewQuestion,MS,,,
Title,An employer asks an entry-level analyst...,,,
QuestionText,Select ALL that apply: An employer asks an entry-level analyst to question a number in a weekly report. Which Chapter 1 competencies most directly support doing this well?,,,
Points,1,,,
Scoring,RightAnswers,,,
Option,1,Foundational information literacy,,
Option,0,Cloud network engineering,,
Option,1,Data integrity and system quality,,
Option,1,Performance-oriented analysis,,
Option,1,Strategic problem solving,,
Feedback,"The five core competencies support workplace data reasoning: performance-oriented analysis helps interpret metrics, data integrity and system quality helps judge trustworthiness, foundational information literacy explains how data supports decisions, and strategic problem solving connects evidence to recommendations.",,,
,,,,
NewQuestion,MC,,,
Title,A manager must choose where to...,,,
QuestionText,"A manager must choose where to invest first: a new dashboarding tool or a redesign of inconsistent source tables. Using Chapter 1's logic, which choice is better justified?",,,
Points,1,,,
Option,0,Either choice is equally valid,,
Option,0,"The dashboarding tool, because BigQuery is mentioned in the chapter",,
Option,100,"The source-table redesign, because trustworthy analytics depend on structured, reliable data",,
Option,0,"The dashboarding tool, because managers want visuals",,
Feedback,"In ""Why Databases Matter for Business Performance,"" the chapter argues that structure shapes what organizations can trust, report, and improve, so reliable source tables come before trustworthy dashboards.",,,
,,,,
NewQuestion,MC,,,
Title,Which critique is strongest for an...,,,
QuestionText,Which critique is strongest for an analytics report whose underlying database has duplicate customer records?,,,
Points,1,,,
Option,0,The report uses the wrong color palette,,
Option,0,The report should be built in Access instead of Power BI,,
Option,0,The report violates the chapter's SQL Pattern callout,,
Option,100,The report's metrics may be inflated or fragmented because the database cannot reliably link records to a single customer,,
Feedback,"Chapter 1 says poor database design can create duplicate records and inconsistent reports, which makes metrics less trustworthy.",,,
,,,,
NewQuestion,MC,,,
Title,Two analysts must explain a misleading...,,,
QuestionText,"Two analysts must explain a misleading metric to leadership. Analyst A blames the dashboarding tool. Analyst B traces the issue back through queries, tables, relationships, and capture. Which response better reflects Chapter 1's framing of systems thinking?",,,
Points,1,,,
Option,0,Both are equally defensible,,
Option,0,"Analyst A, because tools drive performance",,
Option,100,"Analyst B, because systems thinking traces problems through the data-to-decisions arc",,
Option,0,"Analyst A, because the dashboard is what leadership sees",,
Feedback,"Chapter 1 defines systems thinking as seeing how data, structure, analysis, and decisions work together. Analyst B traces the issue through the data-to-decisions arc rather than stopping at the visible dashboard.",,,
,,,,
NewQuestion,MC,,,
Title,Chapter 1 says decisions depend on...,,,
QuestionText,"Chapter 1 says decisions depend on whether data is captured, structured, retrieved, and interpreted responsibly. If a hospital captures patient IDs inconsistently, which downstream step is most directly weakened first?",,,
Points,1,,,
Option,0,"Decisions, because managers will refuse to act",,
Option,0,"Capture, because the form will reject entries",,
Option,0,"Interpretation, because dashboards will look odd",,
Option,100,"Structure and retrieval, because the same patient cannot be reliably linked across tables",,
Feedback,The chapter's hospital example and data-to-decisions logic imply that inconsistent capture first harms structure and retrieval because records cannot be reliably connected.,,,
,,,,
NewQuestion,MC,,,
Title,"A reader argues, ""We could skip...",,,
QuestionText,"A reader argues, ""We could skip normalization and go straight to dashboards."" Which Chapter 1 idea most directly refutes this argument?",,,
Points,1,,,
Option,0,Power BI requires a license,,
Option,0,The book includes a digital companion repository,,
Option,100,The sequence is cumulative; trustworthy analytics cannot be built from messy data definitions,,
Option,0,The book uses Bloom's Taxonomy,,
Feedback,"In ""How the book flows,"" Chapter 1 says the sequence is cumulative and that students cannot build trustworthy analytics from messy data definitions.",,,
,,,,
NewQuestion,MC,,,
Title,A clinic wants to reduce missed...,,,
QuestionText,"A clinic wants to reduce missed appointments. Using the chapter's data-to-decisions arc, which stage turns reliable appointment records into a missed-appointment rate by weekday?",,,
Points,1,,,
Option,0,Data,,
Option,0,Relationships,,
Option,100,Queries feeding analytics,,
Option,0,Tables,,
Feedback,"In ""The Big Idea,"" the veterinary clinic example shows structured appointment records being queried and analyzed to produce patterns such as no-show rates.",,,
,,,,
NewQuestion,MC,,,
Title,A new analyst is asked to...,,,
QuestionText,"A new analyst is asked to pull the customers who churned last quarter. Applying Chapter 1's SQL Pattern callout, what should the analyst do first?",,,
Points,1,,,
Option,100,Write the business question in plain English before writing the query,,
Option,0,Open Power BI and build a dashboard,,
Option,0,Email the manager for a list of churned customers,,
Option,0,Export every table to a spreadsheet,,
Feedback,The SQL Pattern callout says to write the business question in plain English before writing the query.,,,
,,,,
NewQuestion,MC,,,
Title,"In the coffee shop example, why...",,,
QuestionText,"In the coffee shop example, why does the owner struggle with questions such as which ingredients are wasted most often?",,,
Points,1,,,
Option,0,Because spreadsheets cannot store text data,,
Option,0,Because Power BI is not installed on the shop's computer,,
Option,100,"Because sales, inventory, suppliers, and menu items are tracked separately with inconsistent names",,
Option,0,Because the SQL standard does not allow waste calculations,,
Feedback,"In ""Why Databases Matter for Business Performance,"" the coffee shop example says sales, inventory, suppliers, and menu items tracked in separate spreadsheets with inconsistent names make business questions hard to answer.",,,
,,,,
