NewQuestion,MS,,,
Title,A coffee shop owner installs new...,,,
QuestionText,"Select ALL that apply: A coffee shop owner installs new point-of-sale software but does not train staff, update inventory processes, or define data entry standards. Six months later, reports are inconsistent and staff do not trust the numbers. Applying the chapter's concepts, which problems does this scenario illustrate?",,,
Points,1,,,
Scoring,RightAnswers,,,
Option,1,A failure of data quality (inconsistent entries),,
Option,1,Neglecting the people and processes components of the five-component framework,,
Option,0,The software is defective and must be replaced,,
Option,0,A strategic alignment failure — the software does not fit the business,,
Option,1,Confusing IT (the software) with IS (the full system),,
Feedback,"Installing software without processes, training, and data standards is confusing IT with IS. Missing people and processes components causes system failure. Inconsistent entries are a data quality problem.",,,
,,,,
NewQuestion,MS,,,
Title,According to the chapter's discussion of...,,,
QuestionText,"Select ALL that apply: According to the chapter's discussion of IT governance, which questions fall under governance rather than day-to-day system administration?",,,
Points,1,,,
Scoring,RightAnswers,,,
Option,1,How does the organization know whether a system creates value?,,
Option,1,Who owns the data?,,
Option,1,Who decides which systems are built or purchased?,,
Option,1,"Who can change records, reports, or system settings?",,
Option,0,What server should host the database?,,
Feedback,"Governance asks: Who decides which systems are built or purchased? Who owns the data? Who is responsible for security? How are risks managed? Who can change records, reports, or system settings? How does the organization know whether a system creates value?",,,
,,,,
NewQuestion,MC,,,
Title,A hospital administrator wants to know...,,,
QuestionText,A hospital administrator wants to know whether a new scheduling system reduced patient wait times. The administrator compares average wait times from the three months before and after the system launched. Which chapter concept does this most directly illustrate?,,,
Points,1,,,
Option,0,The five-component framework,,
Option,0,IT governance,,
Option,100,Using a KPI to measure performance improvement,,
Option,0,The DIKW hierarchy,,
Feedback,KPIs translate goals into measurable signals. Comparing before and after using a KPI (average wait time) is exactly how organizations evaluate whether performance improved.,,,
,,,,
NewQuestion,MC,,,
Title,A call center manager sets a...,,,
QuestionText,"A call center manager sets a KPI of ""average handling time under three minutes."" Staff begin cutting calls short and leaving issues unresolved. Which chapter insight does this scenario illustrate?",,,
Points,1,,,
Option,0,KPIs are always harmful,,
Option,100,"KPIs shape behavior, and poorly designed KPIs can encourage the wrong behavior",,
Option,0,Call centers should not use any KPIs,,
Option,0,Average handling time is an invalid metric,,
Feedback,"When you evaluate a KPI, ask not only what it measures but also what behavior it encourages. A KPI that looks neutral on a dashboard can drive teams toward speed at the cost of quality.",,,
,,,,
NewQuestion,MC,,,
Title,A company installs an expensive analytics...,,,
QuestionText,"A company installs an expensive analytics platform that generates impressive-looking dashboards. However, the underlying data comes from spreadsheets with inconsistent naming and duplicate entries. Using the chapter's concepts, what is the most fundamental problem?",,,
Points,1,,,
Option,0,The company does not have enough KPIs,,
Option,0,The dashboards are poorly designed,,
Option,100,The data-to-performance chain is broken at the foundation — poor data quality undermines everything built on it,,
Option,0,The company chose the wrong analytics platform,,
Feedback,"The data-to-performance chain starts with data. If data quality is poor, everything downstream is compromised. Inconsistent, duplicate data breaks the foundation, making every report, dashboard, and decision unreliable.",,,
,,,,
NewQuestion,MC,,,
Title,A manager receives a weekly report...,,,
QuestionText,"A manager receives a weekly report showing that Product A sales dropped 15 percent. The report does not include comparison data from prior periods, inventory levels, or promotion history. Applying the chapter's definition of information versus data, what is the problem?",,,
Points,1,,,
Option,100,"The 15 percent figure is data, not information — it lacks the context needed for interpretation",,
Option,0,The manager should ask for a daily report instead,,
Option,0,Sales reports should never include percentages,,
Option,0,The report contains too much data,,
Feedback,"Data needs context. Context tells us what a value represents, where it came from, when it was recorded, and how it should be interpreted. Without context, data is just a recorded trace.",,,
,,,,
NewQuestion,MC,,,
Title,A hospital implements a new patient-records...,,,
QuestionText,"A hospital implements a new patient-records system. The hardware is reliable and the software functions correctly, but doctors resist using it because it adds 12 minutes of data entry per patient visit with no perceived benefit to care quality. Which component(s) of the five-component framework explain the failure?",,,
Points,1,,,
Option,0,Software only,,
Option,0,Data only,,
Option,0,Hardware only,,
Option,100,Processes and people,,
Feedback,"All five components matter. The process (12 extra minutes of data entry) is poorly designed, and people (doctors) resist because they see no benefit — a process and people failure.",,,
,,,,
NewQuestion,MC,,,
Title,"In the chapter, strategic alignment is...",,,
QuestionText,"In the chapter, strategic alignment is defined as the principle that systems should support organizational goals. Which scenario best illustrates a misalignment?",,,
Points,1,,,
Option,0,A delivery company building a route optimization tool,,
Option,0,A hospital implementing a patient safety tracking system,,
Option,0,A university installing a student information system,,
Option,100,A cost-focused retailer investing heavily in personalization features that customers never use,,
Feedback,A system can be technically impressive and still fail if it does not fit the organization. A cost-focused retailer investing in unused personalization is a clear misalignment — the system does not support the strategy.,,,
,,,,
NewQuestion,MC,,,
Title,A company's leadership is deciding whether...,,,
QuestionText,"A company's leadership is deciding whether to invest $2 million in a new enterprise resource planning system. Applying BITM thinking, which question is most important to answer first?",,,
Points,1,,,
Option,0,Which vendor has the most advanced features?,,
Option,100,"What business goals will this system support, and how will we measure whether it creates value?",,
Option,0,How long will installation take?,,
Option,0,What color should the dashboard be?,,
Feedback,"BITM asks which technologies an organization should invest in, how risks should be managed, and how technology value should be measured. It starts with business goals and value measurement before vendor evaluation.",,,
,,,,
NewQuestion,MC,,,
Title,"An online retailer competes on fast,...",,,
QuestionText,"An online retailer competes on fast, reliable delivery. Its order-management system was designed for cost minimization — it batches orders for efficiency but adds 36 hours to delivery time. According to the chapter's strategic alignment principle, what is the problem?",,,
Points,1,,,
Option,0,The system is too expensive,,
Option,0,All order-management systems should minimize cost,,
Option,0,The retailer should change its strategy to match the system,,
Option,100,"The system is not aligned with the company's strategy of fast, reliable delivery",,
Feedback,"The system prioritizes cost over speed, but the company's strategy is fast delivery. This is a strategic misalignment — the system works against the strategy. Strategy should drive system design, not the reverse.",,,
,,,,
