"// Brightspace CSV Import — Summer Lab 1: PetVax Foundations Quiz",,,,
"// Source: lab-summer-01-questions-2026-06-21.md (Chapters 1–4)",,,,
"// Date: 2026-06-21",,,,
"// 25 questions: 14 MC + 3 MS + 7 SA + 1 M",,,,
"// Bloom distribution: ~25% Remember, ~40% Apply, ~25% Analyze, ~10% Evaluate",,,,
"// Course: BITM330 — Using Data to Drive Business Performance",,,,
"// Save as CSV UTF-8 before importing",,,,
,,,,,
//Q1: MC — PetVax role in the course,,,,,
NewQuestion,MC,,,,
ID,BITM330-SL01-Q01,,,,
Title,"PetVax role in this course",,,,
QuestionText,"What is the role of the PetVax project in this course?",,,,
Points,1,,,,
Difficulty,1,,,,
Option,0,"It replaces the Grading Database as the main teaching case.",,"PetVax does not replace the Grading Database — it is the companion applied case.",
Option,100,"It is the applied transfer case where you independently apply what the Grading Database teaches.",,"Correct. PetVax is where you transfer the same skills to a new scenario.",
Option,0,"It is optional extra credit.",,"PetVax is a required part of the course, not extra credit.",
Option,0,"It is used only for final exam review.",,"PetVax appears in every lab, not just exam review.",
Hint,,,,"Think about the relationship between the Grading Database (guided practice) and PetVax (independent transfer).",
Feedback,,,,"PetVax is the continuous applied case. The Grading Database teaches the concept; PetVax is where you prove you can do it yourself.",
,,,,,
//Q2: MC — KPI example,,,,,
NewQuestion,MC,,,,
ID,BITM330-SL01-Q02,,,,
Title,"Which PetVax question is a KPI?",,,,
QuestionText,"Which PetVax question is best written as a Key Performance Indicator (KPI)?",,,,
Points,1,,,,
Difficulty,2,,,,
Option,0,"Do staff like the database?",,"This is an opinion, not a measurable indicator.",
Option,100,"What is the reminder completion rate?",,"Correct. A rate is measurable and tracks a specific performance outcome.",
Option,0,"Why are clinics important?",,"This is a philosophical question, not a measurable KPI.",
Option,0,"What color should the form be?",,"This is a design preference, not a performance indicator.",
Hint,,,,"A KPI must be measurable — look for a question that asks for a rate, count, or percentage.",
Feedback,,,,"A KPI is a measurable indicator of performance. 'Reminder completion rate' is specific, quantifiable, and tied to a business outcome (reducing no-shows).",
,,,,,
//Q3: M — DIKW matching,,,,,
NewQuestion,M,,,,
ID,BITM330-SL01-Q03,,,,
Title,"Match DIKW levels to PetVax examples",,,,
QuestionText,"Match each DIKW level to the correct PetVax example.",,,,
Points,3,,,,
Difficulty,2,,,,
Scoring,EquallyWeighted,,,,
Choice,1,"Data",,,
Choice,2,"Information",,,
Choice,3,"Knowledge",,,
Choice,4,"Wisdom",,,
Match,1,"A single recorded fact, such as ""Mango weighs 4.1 kg""",,,
Match,2,"A summary, such as ""12 appointments are vaccinations""",,,
Match,3,"A pattern, such as ""missed reminder calls increase no-shows""",,,
Match,4,"A decision, such as ""call overdue vaccination clients before the weekend""",,,
Hint,,,,"DIKW moves from raw facts → summaries → patterns → decisions. Think about what each level adds.",
Feedback,,,,"Data is a raw fact. Information is data summarized. Knowledge is a recognized pattern. Wisdom is a decision informed by that pattern.",
,,,,,
//Q4: MC — R.E.A.D. Association stage,,,,,
NewQuestion,MC,,,,
ID,BITM330-SL01-Q04,,,,
Title,"R.E.A.D. stage for connecting owners to pets",,,,
QuestionText,"In the R.E.A.D. model, which stage is most involved when PetVax connects an owner to that owner's pets and appointments?",,,,
Points,1,,,,
Difficulty,2,,,,
Option,0,"Representation",,"Representation is about capturing data, not connecting it.",
Option,0,"Expression",,"Expression is about communicating data, not linking records.",
Option,100,"Association",,"Correct. Association is the stage that connects related records, entities, or time periods.",
Option,0,"Deployment",,"Deployment is about putting data to use, not establishing the links.",
Hint,,,,"Think about what the word 'connects' means in the question stem.",
Feedback,,,,"R.E.A.D. = Representation (capturing), Expression (communicating), Association (linking), Deployment (using). Connecting an owner to their pets and appointments is Association.",
,,,,,
//Q5: MC — Decision level for no-show check,,,,,
NewQuestion,MC,,,,
ID,BITM330-SL01-Q05,,,,
Title,"Decision level for checking today's no-shows",,,,
QuestionText,"Which decision level best matches a front-desk worker checking today's no-shows?",,,,
Points,1,,,,
Difficulty,2,,,,
Option,100,"Operational",,"Correct. Checking today's no-shows is a daily, routine operational decision.",
Option,0,"Managerial",,"Managerial decisions involve resource allocation over weeks or months.",
Option,0,"Strategic",,"Strategic decisions involve long-term direction and competitive positioning.",
Option,0,"Philosophical",,"Not a recognized decision level in this course.",
Hint,,,,"Think about the time horizon and who makes the decision — it's a daily, front-line action.",
Feedback,,,,"Operational decisions are frequent, routine choices made by front-line staff. Checking today's no-shows fits this level perfectly.",
,,,,,
//Q6: SA — Starter appointment count,,,,,
NewQuestion,SA,,,,
ID,BITM330-SL01-Q06,,,,
Title,"Starter appointment row count",,,,
QuestionText,"Before adding Maple, how many rows are in the PETVAX_APPOINTMENTS table?",,,,
Points,1,,,,
Difficulty,1,,,,
InputBox,3,10,,,
Answer,100,23,,,
Answer,100,"23 rows",,,
Answer,100,"23 appointments",,,
Hint,,,,"Open PETVAX_APPOINTMENTS in Datasheet View before adding any records. Count the rows.",
