"// Brightspace CSV Import - Chapter 14 Top Questions",,,,
"// Source: Chapter 14 RAT - Modern Data Infrastructure for Analytics and AI",,,,
"// Date: 2026-07-19",,,,
"// 10 questions: 2 Multi-Select (MS) + 8 Multiple Choice (MC)",,,,
"// Bloom distribution: 2 Apply, 3 Analyze, 5 Evaluate",,,,
"// Save as CSV UTF-8 before importing",,,,
,,,,
NewQuestion,MS,,,
ID,BITM330-CH14-Q01,,,
Title,CH14 Q1: Row-Level Security Design Principles,,,
QuestionText,Select ALL that apply: An organization is designing row-level security for a multi-tenant application. Which principles should guide the design?,,,
Points,2,,,
Difficulty,5,,,
Scoring,RightAnswers,,,
Option,1,Each authenticated user should only access rows belonging to their own organization or account,,Correct - this is the core principle of multi-tenant RLS.
Option,0,A service account with broad access should be embedded in public browser code for convenience,,Incorrect - broad credentials must never be exposed in public code.
Option,1,AI retrieval systems should respect the same row-level permissions as direct user access,,Correct - AI does not create an exception to privacy rules.
Option,1,An instructor role should have different row access than a student role,,Correct - role-based access is a fundamental RLS pattern.
Option,1,Row-level policies act like automatic WHERE conditions added to relevant queries,,Correct - this is the conceptual model for how RLS policies work.
Hint,,,,"Think about least privilege - who needs access to what, and how should that be enforced?"
Feedback,,,,Row-level security applies authorization at the row level. Policies act as automatic WHERE clauses. Different roles need different access. AI retrieval must respect the same permissions. Service credentials must never be exposed publicly.
,,,,
NewQuestion,MS,,,
ID,BITM330-CH14-Q02,,,
Title,CH14 Q2: AI-Ready Document Architecture,,,
QuestionText,Select ALL that apply: A hospital wants to use AI to answer staff questions using approved policy documents. Which architecture decisions support responsible implementation?,,,
Points,2,,,
Difficulty,5,,,
Scoring,RightAnswers,,,
Option,1,"Store policy documents with version numbers, effective dates, and approval status",,"Correct - versioned, dated, and approved documents are essential for AI readiness."
Option,1,Create retrieval views that expose only approved and current document versions,,Correct - governed views prevent stale or draft content from reaching the model.
Option,1,Apply row-level or document-level access controls before retrieval,,Correct - authorization must occur before data enters the model context.
Option,0,Allow the AI model to access all documents in the network without restriction,,Incorrect - unrestricted access violates privacy and governance principles.
Option,1,Include source citations and effective dates in generated answers,,Correct - citations allow users to verify the source and check currency.
Hint,,,,Authorization must happen before data reaches the model. What metadata and controls make retrieval trustworthy?
Feedback,,,,"AI-ready document systems require version control, approval status, effective dates, governed retrieval views, pre-retrieval access controls, and citations. Unrestricted access is a dangerous anti-pattern."
,,,,
NewQuestion,MC,,,
ID,BITM330-CH14-Q03,,,
Title,CH14 Q3: OLTP and OLAP Workload Separation,,,
QuestionText,A university runs a registration system handling thousands of enrollments per hour and also needs to analyze five years of grade data for student success predictors. Which architectural approach is most appropriate?,,,
Points,1,,,
Difficulty,4,,,
Option,0,Run both workloads on the same operational database with no separation,,Incorrect - Run both workloads on the same operational database with no separation
Option,100,Maintain the registration system on an OLTP-optimized database and periodically load cleaned grade history into a separate analytical store,,Correct - Maintain the registration system on an OLTP-optimized database and periodically
Option,0,Move all data into a data lake and run analytical queries directly against registration tables,,Incorrect - Move all data into a data lake and run analytical queries directly against regis
Option,0,Replace the registration system with a spreadsheet,,Incorrect - Replace the registration system with a spreadsheet
Hint,,,,Think about what happens when a complex historical query runs against a live transaction system.
Feedback,,,,OLTP and OLAP have different design priorities. Separating them preserves transaction speed for operations while enabling historical analysis without disruption.
,,,,
NewQuestion,MC,,,
ID,BITM330-CH14-Q04,,,
Title,CH14 Q4: Metric Governance Failure,,,
QuestionText,An organization built a data warehouse three years ago. Two departments now report different values for monthly revenue even though both use the same warehouse. What is the most likely root cause?,,,
Points,1,,,
Difficulty,4,,,
Option,0,The warehouse hardware is faulty,,Incorrect - The warehouse hardware is faulty
Option,100,"The organization lacks a single governed definition of the metric, and departments apply different filters or inclusion rules",,"Correct - The organization lacks a single governed definition of the metric, and departmen"
Option,0,SQL cannot calculate revenue correctly,,Incorrect - SQL cannot calculate revenue correctly
Option,0,One department is using OLTP instead of OLAP,,Incorrect - One department is using OLTP instead of OLAP
Hint,,,,"When different people get different answers from the same data, what is usually missing?"
Feedback,,,,"Conflicting numbers from the same source typically indicate a governance gap - no single agreed-upon definition of the metric. Without governance, different filters and rules produce different results."
,,,,
NewQuestion,MC,,,
ID,BITM330-CH14-Q05,,,
Title,CH14 Q5: Flexible Data Model Governance,,,
QuestionText,"A team stores product catalog data in flexible document columns. Over time, different team members use different field names for the same concept. What is the fundamental problem?",,,
Points,1,,,
Difficulty,4,,,
Option,0,Document columns are incompatible with modern databases,,Incorrect - Document columns are incompatible with modern databases
Option,100,Flexibility without governance leads to inconsistency - the documents lack enforced naming conventions and validation,,Correct - Flexibility without governance leads to inconsistency - the documents lack enfor
Option,0,The data should have been stored in a graph database,,Incorrect - The data should have been stored in a graph database
Option,0,Document columns cannot store numeric values,,Incorrect - Document columns cannot store numeric values
Hint,,,,The problem is not the technology - it is how the technology is being used without rules.
Feedback,,,,"Flexible document storage offers adaptability, but flexibility without governance creates chaos. Without naming conventions and validation, the same concept gets recorded under different names."
,,,,
NewQuestion,MC,,,
ID,BITM330-CH14-Q06,,,
Title,CH14 Q6: CAP Theorem - Banking,,,
QuestionText,A bank's distributed transaction system experiences a network partition between two data centers. Customer account balances are at stake. Which CAP trade-off decision is most defensible?,,,
Points,1,,,
Difficulty,5,,,
Option,0,"Prioritize availability - allow both centers to process withdrawals independently, accepting potential inconsistency",,Incorrect - Prioritize availability - allow both centers to process withdrawals independentl
Option,100,"Prioritize consistency - suspend transactions at one center until communication is restored, protecting balance accuracy",,Correct - Prioritize consistency - suspend transactions at one center until communication
